product_id,product_name,category,quantity,price,date,customer_id,region,sales_rep
P001,Wireless Headphones,Electronics,2,99.99,2024-01-15,C001,North,John Smith
P002,Coffee Maker,Appliances,1,149.50,2024-01-15,C002,South,Jane Doe
P003,Notebook Set,Office Supplies,5,12.99,2024-01-16,C003,East,Bob Johnson
P004,Smartphone,Electronics,1,699.99,2024-01-16,C004,West,Alice Brown
P005,Desk Chair,Furniture,1,299.99,2024-01-17,C005,North,John Smith
P006,Water Bottle,Sports,3,19.99,2024-01-17,C006,South,Jane Doe
P007,Laptop,Electronics,1,1299.99,2024-01-18,C007,East,Bob Johnson
P008,Coffee Beans,Food,2,24.99,2024-01-18,C008,West,Alice Brown
P009,Pen Set,Office Supplies,10,8.99,2024-01-19,C009,North,John Smith
P010,Monitor,Electronics,1,399.99,2024-01-19,C010,South,Jane Doe
P011,Table Lamp,Furniture,2,79.99,2024-01-20,C011,East,Bob Johnson
P012,Yoga Mat,Sports,1,49.99,2024-01-20,C012,West,Alice Brown
P001,Wireless Headphones,Electronics,1,99.99,2024-01-21,C013,North,John Smith
P013,Backpack,Sports,2,89.99,2024-01-21,C014,South,Jane Doe
P014,Tablet,Electronics,1,499.99,2024-01-22,C015,East,Bob Johnson
P015,Blender,Appliances,1,199.99,2024-01-22,C016,West,Alice Brown
P016,Stapler,Office Supplies,4,15.99,2024-01-23,C017,North,John Smith
P017,Gaming Mouse,Electronics,1,79.99,2024-01-23,C018,South,Jane Doe
P018,Office Desk,Furniture,1,599.99,2024-01-24,C019,East,Bob Johnson
P019,Protein Powder,Sports,1,39.99,2024-01-24,C020,West,Alice Brown
P020,Printer,Electronics,1,249.99,2024-01-25,C021,North,John Smith
P021,Microwave,Appliances,1,179.99,2024-01-25,C022,South,Jane Doe
P022,Folder Set,Office Supplies,8,6.99,2024-01-26,C023,East,Bob Johnson
P023,Keyboard,Electronics,1,129.99,2024-01-26,C024,West,Alice Brown
P024,Bookshelf,Furniture,1,199.99,2024-01-27,C025,North,John Smith 